"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1178919","","","","0"
"2013","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1200339","","","","0"
"2014","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1219673","","","","0"
"2015","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1228287","","","","0"
"2016","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1246877","","","","0"
"2017","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1262716","","","","0"
"2018","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1284756","","","","0"
"2019","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1315682","","","","0"
"2020","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1349399","","","","0"
"2021","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1375038","","","","0"
"2022","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1430007","","","","0"
"2023","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1529861","","","","0"
"2024","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1617082","","","","0"
"2025","Canada","2021A000011124","Men+","30 to 34 years","Persons","249","units","0","v466798","1.2.43","1634132","","","","0"
"2000","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1354673","","","","0"
"2001","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1331024","","","","0"
"2002","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1300731","","","","0"
"2003","Canada","2021A000011124","Men+","35 to 39 years","Persons","249","units","0","v466816","1.2.49","1255591","","","","0"
